"CODI_DIVISIO_TERRITORIAL","NOM_DIVISIO_TERRITORIAL","CATEGORIA_DIVISIO","CODI_DIVISIO_TERRITORIAL_PARE","URL_FITXA_DIVISIO_TERRITORIAL"
"B-15","Hostafrancs","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri15.pdf"
"B-16","la Bordeta","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri16.pdf"
"B-17","Sants - Badal","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri17.pdf"
"B-18","Sants","Barri","D-03","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri18.pdf"
"B-19","les Corts","Barri","D-04","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri19.pdf"
"B-20","la Maternitat i Sant Ramon","Barri","D-04","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri20.pdf"
"B-21","Pedralbes","Barri","D-04","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri21.pdf"
"B-22","Vallvidrera, el Tibidabo i les Planes","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri22.pdf"
"B-23","Sarrià","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri23.pdf"
"B-24","les Tres Torres","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri24.pdf"
"B-25","Sant Gervasi - la Bonanova","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri25.pdf"
"B-26","Sant Gervasi - Galvany","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri26.pdf"
"B-27","el Putxet i el Farró","Barri","D-05","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri27.pdf"
"B-28","Vallcarca i els Penitents","Barri","D-06","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri28.pdf"
"B-29","el Coll","Barri","D-06","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri29.pdf"
"B-30","la Salut","Barri","D-06","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri30.pdf"
"B-31","la Vila de Gràcia","Barri","D-06","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri31.pdf"
"B-32","el Camp d'en Grassot i Gràcia Nova","Barri","D-06","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri32.pdf"
"B-33","el Baix Guinardó","Barri","D-07","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri33.pdf"
"B-34","Can Baró","Barri","D-07","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri34.pdf"
"B-35","el Guinardó","Barri","D-07","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri35.pdf"
"B-36","la Font d'en Fargues","Barri","D-07","https://ajuntament.barcelona.cat/estadistica/catala/Estadistiques_per_territori/Barris/Fitxes/a2019/barri36.pdf"
